N,F0,PER,d0,v0,collision,attack
4,-2,0.22,6.76,57,0,0
6,-8,0.03,6.45,76,1,1
8,-6,0.13,9.169,78,1,1
8,-4,0.04000002,5.496,48,0,1
3,-3,0.55,6.165,76,1,0
10,-4,0.26,6.151,86,1,1
3,-6,0.04,8.532,45,0,0
8,-8,0.62,8.495,74,0,1
4,-4,0.43,8.223,68,1,1
6,-4,0.82,4.605,18,1,0
9,-5,0.12,6.449,37,0,0
3,-3,0.26,8.364,42,0,1
5,-6,0.86,5.55,68,1,0
4,-8,0.95,4.886,18,0,1
5,-4,0.62,8.204,61,1,0
8,-4,0.22,5.673,43,0,0
8,-8,0.58,6.103,48,0,1
5,-2,0.38,8.434,15,0,0
6,-2,0.29,8.995,68,0,0
8,-4,0.15,4.207,83,0,0
4,-6,0.38,8.1,87,0,0
7,-2,0.34,5.535,86,0,0
2,-8,0.81,7.565,52,0,1
5,-3,0.56,5.83,89,0,0
8,-2,0.83,6.542,62,0,1
4,-4,0.8,8.98,51,1,0
3,-7,0.35,4.345,34,0,0
6,-8,0.31,5.73,44,1,1
7,-1,0.74,4.017,47,0,0
4,-3,0.13,5.853,31,0,1
8,-2,0.28,8.385,76,1,1
8,-6,0.110000014,5.71,72,1,1
10,-6,0.25,7.443,55,1,0
6,-3,0.63,8.466,88,0,0
2,-4,0.42000002,9.328,72,1,1
7,-8,0.05,6.57,49,0,0
10,-6,0.050000012,8.813,16,1,1
3,-3,0.36,7.414,11,0,1
6,-2,0.09,6.291,23,0,0
8,-2,0.68,4.858,90,0,1
4,-4,0.99,8.082,44,0,1
3,-5,0.92,5.281,34,1,0
6,-6,0.68,4.206,31,0,0
4,-8,0.45,7.084,88,0,0
5,-7,0.21,6.635,28,0,0
8,-4,0.47000003,8.677,12,1,1
10,-6,0.2,4.91,65,1,0
5,-4,0.85,5.632,54,1,0
7,-2,0.86,8.139,76,1,0
6,-4,0.91999996,4.798,24,0,1
6,-6,0.52,5.022,26,0,1
10,-8,0.28,5.633,50,1,1
8,-2,0.84,7.027,84,0,1
2,-4,0.94,8.121,38,0,1
8,-7,0.23,6.252,81,0,0
8,-2,0.25,4.863,58,1,1
8,-4,0.26,5.251,52,1,1
5,-6,0.13,4.977,76,0,0
4,-2,0.76,5.024,58,0,1
4,-7,0.04,8.795,12,0,1
8,-6,0.28,6.447,46,1,1
3,-7,0.62,8.351,54,0,0
8,-3,0.06,8.116,48,0,0
3,-7,0.14,6.858,44,0,1
7,-2,0.56,8.866,21,0,1
8,-8,0.61,4.806,46,0,1
3,-6,0.01,8.93,65,0,1
9,-5,0.38,6.754,72,1,0
10,-1,0.21,6.77,24,1,0
6,-7,0.13,5.472,27,0,0
4,-4,0.3,6.709,62,1,1
4,-2,0.36,5.977,60,1,1
4,-8,0.32,6.187,60,0,0
6,-4,0.83,7.9750004,88,0,1
10,-3,0.55,7.342,10,1,0
7,-7,0.62,6.16,37,0,0
6,-2,0.34,8.364,49,0,0
3,-4,0.83,4.812,11,0,0
2,-4,0.74,4.165,52,0,1
5,-5,0.66,5.862,71,0,0
7,-3,0.16,8.346,89,0,0
4,-4,0.39,5.638,72,1,1
8,-2,0.16,7.245,41,0,0
8,-2,0.100000024,4.851,86,1,1
8,-8,0.23000002,5.444,42,0,1
9,-1,0.3,5.519,76,1,0
9,-3,0.8,6.452,15,1,0
8,-2,0.39,5.851,88,1,1
8,-8,0.51,8.035,82,0,1
4,-8,0.95,6.585,32,0,1
5,-2,0.31,4.243,86,0,0
6,-2,0.57,6.345,56,0,1
8,-2,0.15,6.913,38,1,1
6,-7,0.66,7.214,48,1,0
2,-4,0.93,7.762,54,0,1
8,0,0.18,6.924,74,1,1
8,-4,0.16000003,7.503,58,1,1
2,-6,0.49,7.521,26,1,1
4,-6,0.14,7.715,52,0,0
5,-3,0.22,4.982,46,0,0
9,-8,0.55,7.064,60,1,0
5,-2,0.44,6.647,73,0,0
3,-7,0.03,7.792,43,0,0
6,-6,0.83,6.148,32,0,1
3,-7,0.39,6.851,29,0,0
4,-4,0.3,7.649,70,1,1
8,-4,0.14,5.958,46,1,1
4,-6,0.35000002,4.685,32,1,1
6,-6,0.42000002,6.367,34,1,1
9,-4,0.84,7.853,66,1,0
4,-2,0.90999997,8.138,40,0,1
10,-4,0.44,7.448,48,1,1
10,-2,0.35000002,5.971,50,1,1
4,-8,0.90999997,4.255,60,0,1
8,-2,0.07,5.539,78,0,1
9,-4,0.13,7.906,39,0,0
3,-4,0.7,6.08,19,0,0
6,-8,0.12,5.036,77,0,0
10,-8,0.2,5.441,79,1,0
10,-5,0.26,8.456,72,1,0
10,-1,0.06,6.089,74,1,0
8,-2,0.32,8.336,72,1,1
5,-4,0.76,5.174,62,1,0
6,-2,0.68,7.562,75,1,0
2,-2,0.49,6.29,50,1,1
6,-6,0.44,8.256,14,1,1
6,-6,0.29000002,6.183,56,1,1
8,-5,0.81,6.347,64,1,0
4,-7,0.13,7.853,88,0,0
3,-7,0.08,4.359,45,0,0
4,-8,0.89,6.669,80,0,1
6,-4,0.81,6.358,88,0,1
6,-5,0.43,6.279,31,0,0
6,-8,0.61,4.136,82,0,1
4,-6,0.4,4.631,30,0,0
8,-2,0.53,7.9160004,30,0,1
4,-3,0.41,4.578,46,0,0
6,-5,0.34,5.181,53,1,1
9,-4,0.69,5.309,35,1,0
10,-7,0.41,4.059,31,1,0
5,-6,0.96,4.881,28,1,0
6,-3,0.91,6.625,45,1,0
3,-8,0.24,8.317,81,0,0
6,-5,0.02,7.7,80,0,0
6,-7,0.9,7.383,14,1,0
9,-2,0.89,5.332,88,1,0
4,-8,0.85,6.946,74,0,1
5,-4,0.99,4.239,27,1,0
4,-2,0.29000002,7.088,62,1,1
6,-8,0.110000014,6.857,74,1,1
4,-6,0.9,4.919,50,0,1
8,-2,0.89,6.166,66,0,1
2,-4,0.46,5.729,58,1,1
3,-3,0.95,4.265,40,1,0
4,-3,0.74,7.692,45,1,0
6,-8,0.93,6.715,84,0,1
6,-2,0.33,6.581,52,1,1
6,-6,0.120000005,8.684,88,1,1
9,-3,0.74,4.091,39,1,0
6,-6,0.4,8.673,12,0,0
6,-4,0.39,7.841,28,1,1
3,-1,0.87,7.751,29,1,0
9,-3,0.89,4.141,80,1,0
8,-8,0.44,8.000999,44,1,1
8,-2,0.28,5.933,10,1,1
6,-2,0.78999996,5.506,30,0,1
8,-2,0.32,7.678,12,1,1
6,-4,0.68,8.066,46,0,1
6,-7,0.38,6.046,20,0,0
2,-6,0.64,4.564,66,0,1
6,-4,0.88,4.246,68,0,1
6,-4,0.32,5.49,74,1,1
7,-6,0.12,6.3,20,0,0
8,-2,0.22000003,5.611,80,1,1
7,-1,0.66,7.652,73,0,0
9,-6,0.52,7.523,32,1,0
2,-2,0.36,5.691,68,1,1
8,-8,0.42,8.828,14,0,0
8,-4,0.9,8.425,70,0,1
8,-6,0.07,9.383,10,0,1
10,-4,0.22000003,5.5,56,1,1
4,-4,0.38,8.856,30,0,1
4,-5,0.04,6.135,15,0,1
4,-3,0.35,6.291,82,0,0
4,-7,0.72,6.932,81,1,0
8,-3,0.71,4.651,79,1,0
8,-4,0.060000002,4.935,88,1,1
6,-4,0.31,6.97,80,1,1
8,-6,0.050000012,5.172,72,1,1
6,-5,0.46,7.881,78,0,0
7,-8,0.76,4.972,23,0,0
7,-3,0.1,7.342,76,0,0
9,-7,0.6,4.148,17,1,0
10,-7,0.42,7.428,25,1,0
4,-2,0.42000002,5.825,44,1,1
7,-8,0.68,8.542,75,1,0
4,-3,0.04,4.708,46,0,1
6,-2,0.8,5.807,29,0,0
3,-8,0.61,5.543,13,0,0
3,-6,0.09,6.516,72,0,0
3,-8,0.69,8.976,57,0,0
4,-2,0.75,6.225,62,0,1
8,-8,0.26,6.665,21,0,0
10,-8,0.01,6.454,10,1,1
10,-8,0.43,5.951,30,1,1
4,-6,0.02,6.99,41,0,1
8,0,0.37,8.695,64,1,1
9,-8,0.47,7.617,49,0,0
8,-2,0.41,8.57,88,0,0
3,-7,0.81,5.231,46,0,0
10,-2,0.16,4.978,29,1,0
10,-4,0.79,7.349,65,1,0
7,-7,0.55,7.607,20,0,0
8,-8,0.31,7.319,38,1,1
8,-4,0.69,4.09,55,1,0
3,-2,0.43,5.9,55,0,0
6,-5,0.11,5.06,88,0,0
4,-2,0.65999997,5.316,82,0,1
8,-4,0.18,8.301,64,1,1
8,-8,0.47000003,5.59,88,1,1
6,-3,0.3,7.652,57,0,0
10,-2,0.46,5.834,38,1,1
4,-8,0.78,3.5430002,34,0,1
6,-2,0.57,7.768,23,0,1
7,-2,0.21,5.372,72,0,0
5,-4,0.58,4.749,16,0,1
6,-8,0.24000001,9.292,32,1,1
6,-7,0.23,7.87,62,0,1
4,-6,0.8,7.035,70,0,1
4,-4,0.46,4.711,83,0,0
4,-4,0.9,5.195,62,0,1
6,-2,0.54,6.061,80,0,0
8,-8,0.88,5.12,58,1,0
2,-6,0.37,6.239,44,0,1
4,-4,0.36,8.649,62,1,1
5,-4,0.69,4.453,82,1,0
4,-5,0.17,4.777,51,0,0
4,-8,0.39,5.12,46,1,1
5,-7,0.25,8.31,76,0,0
5,-2,0.39,6.748,43,0,0
6,-4,0.8,6.114,16,0,0
5,-5,0.11,5.338,11,0,0
10,-2,0.34,7.064,34,1,1
10,-6,0.82,8.333,65,1,0
7,-8,0.93,7.691,43,1,0
8,-4,0.9,6.633,50,0,1
6,-5,0.36,7.705,19,0,0
4,-4,0.65999997,5.124,68,0,1
8,-7,0.5,5.828,77,1,0
4,-8,0.86,5.224,82,1,1
7,-3,0.33,4.598,15,0,0
8,-8,0.73,4.064,20,0,1
4,-2,0.43,5.745,66,0,0
6,-7,0.76,7.004,52,1,0
10,-6,0.46,7.544,84,1,1
4,-4,0.18,8.777,88,1,1
5,-5,0.85,7.19,88,1,0
9,-4,0.08,4.872,72,0,0
6,-2,0.100000024,5.641,68,1,1
3,-5,0.99,5.803,65,1,0
5,-1,0.86,7.456,80,1,0
8,-6,0.52,4.753,88,0,1
8,-6,0.69,5.416,28,0,1
8,-2,0.22000003,6.372,72,1,1
3,-4,0.74,8.144,22,0,0
6,-5,0.59,5.422,10,0,0
4,-6,0.7,7.409,21,0,0
10,-4,0.08,9.06,20,1,1
6,-2,0.17,6.551,27,0,0
7,-6,0.13,4.516,79,0,0
5,-5,0.08,8.515,79,0,0
3,-3,0.63,4.182,22,0,0
6,-4,0.39,4.852,50,1,1
10,-2,0.07,5.115,86,1,1
2,-4,0.41000003,8.408,66,1,1
6,-4,0.59,6.382,42,0,1
8,-2,0.37,8.023,40,1,1
8,0,0.34,8.084,78,1,1
3,-6,0.31,6.621,64,0,0
5,-8,0.62,7.528,71,1,0
4,-2,0.09,7.232,16,0,0
4,-4,0.74,6.945,82,0,0
8,-8,0.01,6.143,77,0,0
4,-3,0.7,5.531,57,1,0
6,-8,0.52,7.5790005,48,0,1
5,-8,0.61,5.204,45,1,0
3,-6,0.75,4.005,53,0,0
6,-2,0.110000014,6.801,66,0,1
2,-4,0.35000002,7.909,58,1,1
6,-2,0.53,8.411,36,0,1
6,-8,0.3,6.992,86,1,1
4,-6,0.34,6.103,80,1,1
10,-1,0.46,8.642,53,1,0
6,-7,0.94,5.211,63,1,0
4,-3,0.75,4.42,16,0,0
6,-6,0.44,8.316999,64,1,1
4,-2,0.38,7.332,80,1,1
6,-8,0.52,7.8050003,36,0,1
4,-4,0.74,7.891,88,0,1
9,-8,0.83,6.907,53,1,0
8,-5,0.11,7.402,24,0,0
6,-2,0.24000001,6.928,88,1,1
4,-2,0.31,4.638,33,0,0
4,-2,0.34,5.274,86,1,1
8,-2,0.07,4.687,38,1,1
10,-5,0.42,8.781,20,1,0
5,-4,0.24,7.346,29,0,0
5,-7,0.21,5.175,16,0,0
5,-5,0.93,5.899,44,1,0
10,-4,0.44,5.172,76,1,1
9,-3,0.35,8.385,60,1,0
6,-4,0.35000002,8.551,24,1,1
10,-2,0.18,9.477,16,0,1
10,-8,0.86,5.178,78,1,0
4,-6,0.29000002,4.579,68,1,1
6,-2,0.23,6.42,14,0,0
8,-3,0.67,4.509,70,1,0
8,-6,0.31,7.467,58,1,1
10,-6,0.18,6.788,64,1,1
9,-4,0.17,7.29,29,0,0
4,-8,0.25,7.004,22,0,1
4,-4,0.97,5.272,86,0,1
6,-8,0.37,7.517,22,1,1
4,-8,0.31,8.375,62,0,0
9,-7,0.55,7.325,12,0,0
4,-4,0.38,5.658,76,1,1
8,-7,0.27,8.013,83,0,0
4,-8,0.49,8.626,47,0,0
9,-6,0.14,4.323,59,0,0
6,-5,0.32,7.422,53,0,1
3,-4,0.72,4.018,36,0,0
6,-8,0.47000003,5.859,60,1,1
8,-2,0.17000002,7.427,72,1,1
4,-6,0.44,5.964,40,0,0
10,-7,0.72,4.378,82,1,0
8,-4,0.71,8.097,32,0,1
10,-6,0.39,4.969,74,1,1
8,-6,0.6,4.505,36,0,1
10,-2,0.100000024,7.609,64,1,1
3,-6,0.26,4.044,16,0,1
10,-4,0.95,4.701,18,1,0
9,-4,0.44,8.249,84,1,0
8,-6,0.78999996,4.983,46,0,1
10,-6,0.26,8.057,26,1,0
6,-4,0.100000024,9.294,84,1,1
6,-3,0.31,4.287,78,0,0
3,-3,0.19,7.43,56,0,0
4,-4,0.89,4.589,82,0,1
6,-8,0.22,8.779,23,0,0
8,-8,0.57,6.917,24,0,1
8,-7,0.7,6.5,40,1,0
8,-3,0.03,4.329,20,0,0
6,-8,0.25,5.338,62,0,1
10,-8,0.54,7.221,29,1,0
8,-6,0.09,7.826,64,1,1
8,-1,0.63,6.796,38,0,0
9,-5,0.01,5.373,44,1,0
8,-4,0.38,5.413,70,1,1
7,-2,0.35,4.252,77,0,0
4,-6,0.4,5.621,18,1,1
6,-2,0.46,8.914,60,1,1
6,-6,0.32,9.21,36,1,1
8,-2,0.63,5.448,18,0,1
10,-6,0.41000003,8.379,10,1,1
6,-4,0.24000001,9.026,44,1,1
6,-6,0.19,5.775,52,1,1
8,-6,0.94,6.188,38,0,1
4,-4,0.46,6.78,64,1,1
10,-3,0.58,5.572,80,1,0
6,-6,0.64,4.985,48,0,1
6,-6,0.8,4.662,12,0,1
4,-8,0.27,5.004,56,1,1
8,-4,0.04000002,4.82,58,1,1
8,-8,0.04000002,4.637,26,1,1
4,-6,0.21,4.766,78,1,1
8,-8,0.15,6.438,74,1,1
8,-8,0.59,4.039,80,0,1
3,-2,0.75,6.534,88,1,0
9,-8,0.18,6.034,59,1,0
2,-8,0.4,8.932,84,1,1
10,-7,0.33,5.465,65,1,0
5,-5,0.58,7.046,11,0,0
5,-2,0.53,7.927,25,0,0
6,-7,0.7,5.251,79,1,0
5,-8,0.83,8.378,63,1,0
6,-4,0.41000003,7.135,84,1,1
8,-2,0.120000005,9.289,42,0,1
6,-5,0.5,6.362,36,0,0
8,-4,0.65999997,5.594,46,0,1
5,-7,0.89,6.4,41,1,0
7,-4,0.5,8.456,13,0,0
5,-2,0.75,7.493,31,0,0
8,-4,0.34,4.917,55,0,0
8,-4,0.74,4.761,52,0,1
5,-8,0.06,6.005,73,0,0
4,-1,0.82,6.959,79,1,0
6,-7,0.92,7.92,65,1,0
6,-4,0.69,7.053,75,1,0
3,-5,0.16,8.013,17,0,1
6,-8,0.6,6.357,61,1,0
3,-4,0.25,5.307,60,0,0
6,-4,0.71,5.226,50,0,1
3,-1,0.16,8.979,85,0,1
4,-2,0.44,9.266,12,1,1
2,-8,0.55,4.308,86,0,1
7,-5,0.47,7.715,70,1,0
4,-2,0.25,4.836,72,1,1
8,-2,0.27,4.751,22,0,1
7,-2,0.35,7.608,56,0,0
4,-2,0.35000002,6.122,86,1,1
4,-6,0.38,8.358,66,1,1
8,-7,0.7,4.378,36,1,0
6,-6,0.01,8.461,82,1,1
10,-2,0.35000002,5.887,18,1,1
6,-2,0.51,8.715,43,0,0
8,-6,0.23000002,9.06,86,1,1
8,-8,0.7,6.054,68,0,1
3,-6,0.24,4.743,28,0,0
3,-5,0.96,4.153,13,1,0
8,-2,0.22000003,7.18,88,1,1
8,-8,0.9,7.801,50,0,1
8,-8,0.29000002,6.356,34,1,1
8,-8,0.94,5.982,68,1,1
6,-6,0.87,6.052,76,0,1
9,-4,0.55,8.291,75,1,0
10,-8,0.3,7.377,40,1,0
7,-6,0.4,6.692,49,0,0
10,-8,0.66,8.319,11,1,0
2,-4,0.38,7.073,86,1,1
2,-8,0.28,4.708,52,0,1
8,-6,0.28,8.532,46,1,1
2,-2,0.87,5.215,42,0,1
6,-3,0.53,4.325,40,0,0
10,-4,0.97,5.248,14,1,0
10,-6,0.16000003,6.389,40,1,1
8,-8,0.47000003,4.763,22,1,1
5,-3,0.37,7.626,23,0,0
4,-6,0.49,8.644,28,1,1
6,-2,0.31,8.775,54,1,1
4,-2,0.25,7.93,80,1,1
9,-8,0.83,6.199,75,1,0
6,-2,0.08,4.172,10,0,0
8,0,0.22000003,8.34,82,0,1
5,-7,0.76,8.266,82,1,0
8,-2,0.24000001,7.281,32,1,1
8,-4,0.54,5.413,52,0,1
2,-2,0.7,6.589,78,0,1
5,-7,0.95,5.904,26,1,0
8,-1,0.85,5.586,11,1,0
4,-4,0.05,8.057,56,0,0
8,-7,0.67,5.139,86,1,0
6,-8,0.55,7.914,13,0,0
6,-2,0.04,8.639,65,0,0
9,-5,0.31,6.197,55,1,0
4,-7,0.16,7.738,59,0,0
4,-4,0.59,6.362,74,0,1
9,-7,0.82,8.524,55,1,0
4,-8,0.33,4.639,50,1,1
8,-4,0.8,8.782,29,1,0
6,-7,0.58,7.657,50,1,0
8,-5,0.94,8.855,15,1,0
4,-6,0.27,6.394,16,0,1
4,-8,0.75,8.412,80,0,1
3,-1,0.73,4.984,25,0,0
10,-6,0.21,8.608,58,1,1
8,-8,0.16000003,7.011,68,1,1
3,-7,0.04,7.737,39,0,0
5,-7,0.9,7.781,17,1,0
9,-4,0.35,7.899,51,1,0
5,-8,0.58,6.546,79,0,0
6,-7,0.69,7.267,79,1,0
10,-5,0.84,5.094,29,1,0
4,-6,0.87,3.7220001,46,0,1
4,-1,0.97,4.246,27,1,0
2,-4,0.4,5.138,54,1,1
6,-4,0.51,3.98,32,0,1
4,-2,0.02,6.824,66,0,1
6,-6,0.71,8.737,30,0,0
4,-8,0.51,6.634,58,0,0
9,-3,0.97,4.415,34,1,0
8,-2,0.25,6.543,60,1,1
8,-2,0.22000003,7.827,80,1,1
8,-4,0.31,5.455,66,1,1
4,-6,0.99,8.373,38,0,1
6,-2,0.63,3.755,22,0,1
5,-2,0.25,6.026,77,0,0
8,-6,0.06,8.034,25,0,0
3,-8,0.22,7.513,15,0,1
2,-4,0.36,7.367,56,0,1
6,-2,0.54,8.058,68,0,1
10,-6,0.25,8.662,84,1,1
9,-4,0.28,4.423,18,0,0
4,-5,0.49,8.836,42,0,0
10,-8,0.6,7.243,58,1,0
5,-7,0.88,4.775,70,1,0
4,-6,0.24000001,7.744,66,0,1
10,-2,0.21,8.884,34,0,0
6,-2,0.07,7.181,71,0,0
10,-4,0.78,6.772,89,1,0
10,-7,0.57,8.251,73,1,0
4,-2,0.7,6.249,85,1,0
8,-6,0.9,6.52,64,1,0
8,-8,0.69,6.398,24,0,1
6,-2,0.65999997,4.659,32,0,1
10,-4,0.01,8.914,60,1,0
8,-8,0.18,6.459,12,1,1
4,-5,0.45,8.944,55,0,0
6,-8,0.22,6.482,25,0,0
9,-3,0.82,4.449,47,1,0
3,-4,0.41,6.442,63,0,0
9,-7,0.39,7.32,30,0,0
10,-6,0.22,5.389,38,1,0
8,-3,0.19,6.271,46,0,0
7,-5,0.04,8.743,72,0,0
8,-4,0.14,7.027,42,1,1
7,-7,0.13,7.601,61,0,0
6,-7,0.07,6.94,25,0,0
8,-2,0.06,7.807,47,0,0
10,-8,0.29000002,5.358,34,1,1
3,-8,0.03,7.982,55,0,1
4,-4,0.44,7.558,58,1,1
6,-6,0.47,6.094,35,0,0
7,-8,0.95,5.984,87,1,0
9,-5,0.58,5.279,61,1,0
8,-6,0.27,8.176,28,1,1
10,-4,0.09,6.222,86,1,0
3,-2,0.15,5.663,22,0,1
3,-2,0.25,4.072,62,0,0
6,-5,0.82,5.421,72,1,0
5,-8,0.45,7.708,29,0,0
4,-6,0.85,6.35,10,0,0
4,-8,0.81,5.579,70,1,0
4,-1,0.79,6.212,30,0,0
10,-5,0.33,5.185,54,1,0
9,-4,0.23,7.004,17,0,0
6,-2,0.49,6.028,74,1,1
5,-4,0.73,4.134,11,0,0
2,0,0.47000003,6.857,58,1,1
9,-1,0.75,8.33,88,1,0
8,-2,0.99,7.171,64,0,1
6,-4,0.64,8.067,87,1,0
4,-7,0.83,8.174,77,1,0
6,-5,0.43,5.516,88,0,0
10,-2,0.37,5.531,48,1,1
10,-6,0.53,6.478,10,0,1
6,-2,0.45,9.406,70,1,1
7,-8,0.96,8.375,19,1,0
6,-4,0.4,8.176,79,0,0
4,-4,0.33,5.696,66,1,1
6,-4,0.7,5.951,18,0,1
8,-8,0.83,7.907,66,0,1
2,-8,0.82,6.239,56,0,1
10,-7,0.94,8.743,34,1,0
8,0,0.04000002,7.326,52,1,1
8,-2,0.35000002,7.046,22,1,1
4,-8,0.98,5.463,80,0,1
8,-4,0.93,5.369,20,0,1
4,-4,0.22,4.568,61,0,0
5,-8,0.04,5.939,54,0,0
3,-7,0.78,5.122,61,0,0
3,-1,0.42,6.192,22,0,0
8,-5,0.45,8.549,78,0,0
8,-2,0.09,9.073,28,1,1
4,-4,0.97,4.313,68,0,1
5,-8,0.05,6.25,22,0,0
6,-6,0.45,9.086,22,1,1
3,-4,0.17,8.91,16,0,0
6,-6,0.76,7.432,20,0,1
8,-2,0.91999996,6.827,86,0,1
6,0,0.49,6.363,52,1,1
8,-6,0.31,8.922,48,1,1
8,-8,0.25,7.981,79,1,0
4,-6,0.82,6.227,44,0,1
6,-3,0.69,8.757,80,1,0
8,-1,0.25,6.83,49,0,0
5,-1,0.89,7.709,84,1,0
6,-4,0.31,7.286,16,0,1
6,-8,0.75,7.316,84,0,1
7,-2,0.27,8.626,67,0,0
3,-6,0.99,8.982,56,1,0
6,-2,0.88,5.03,70,0,1
3,-2,0.97,8.914,51,1,0
5,-8,0.06,4.047,69,0,0
8,-4,0.31,6.746,48,1,1
3,-8,0.55,4.102,68,1,0
4,-5,0.34,8.324,24,0,0
2,-6,0.78,4.331,60,0,1
4,-6,0.64,6.665,64,0,1
8,-8,0.86,5.639,82,0,1
8,-4,0.100000024,7.855,46,0,1
8,-4,0.85,5.845,38,0,1
4,-2,0.3,7.788,84,1,1
5,-4,0.89,4.213,30,1,0
8,-4,0.25,7.71,18,0,1
4,-4,0.45,7.657,86,1,1
6,-2,0.44,8.886,44,0,1
6,-2,0.3,7.133,19,0,0
